priority,name,matched_url
2,London Eater map articles,https://london.eater.com/maps/best-pancakes-london-shrove-tuesday-2022
2,London Eater map articles,https://london.eater.com/maps/best-pasta-restaurants-london
2,London Eater map articles,https://london.eater.com/maps/best-pies-london-restaurants
2,London Eater map articles,https://london.eater.com/maps/best-pizza-london
2,London Eater map articles,https://london.eater.com/maps/best-places-watch-world-cup-final-london
2,London Eater map articles,https://london.eater.com/maps/best-polish-restaurants-london-pierogi
2,London Eater map articles,https://london.eater.com/maps/best-pre-theatre-restaurants-london-west-end
2,London Eater map articles,https://london.eater.com/maps/best-pub-food-london-scotch-egg-sausage-roll
2,London Eater map articles,https://london.eater.com/maps/best-puddings-london-restaurants
2,London Eater map articles,https://london.eater.com/maps/best-ramen-restaurants-london
2,London Eater map articles,https://london.eater.com/maps/best-restaurant-delivery-lockdown-east-london
2,London Eater map articles,https://london.eater.com/maps/best-restaurant-delivery-lockdown-north-london
2,London Eater map articles,https://london.eater.com/maps/best-restaurant-delivery-takeaway-central-london
2,London Eater map articles,https://london.eater.com/maps/best-restaurant-delivery-takeaway-south-east-london
2,London Eater map articles,https://london.eater.com/maps/best-restaurant-takeaway-delivery-south-west-london
2,London Eater map articles,https://london.eater.com/maps/best-restaurants-acton
2,London Eater map articles,https://london.eater.com/maps/best-restaurants-balham-london
2,London Eater map articles,https://london.eater.com/maps/best-restaurants-battersea
2,London Eater map articles,https://london.eater.com/maps/best-restaurants-bermondsey-maltby-street-market-spa-terminus
2,London Eater map articles,https://london.eater.com/maps/best-restaurants-brixton
2,London Eater map articles,https://london.eater.com/maps/best-restaurants-brockley-south-east-london
2,London Eater map articles,https://london.eater.com/maps/best-restaurants-camberwell
2,London Eater map articles,https://london.eater.com/maps/best-restaurants-cambridge-england
2,London Eater map articles,https://london.eater.com/maps/best-restaurants-camden-camden-town
2,London Eater map articles,https://london.eater.com/maps/best-restaurants-canary-wharf
2,London Eater map articles,https://london.eater.com/maps/best-restaurants-catford-hither-green-south-east-london
2,London Eater map articles,https://london.eater.com/maps/best-restaurants-chinatown-london
