batch_order,batch_key,batch_folder,input_row_number,url
1,maps,01_maps,132,https://london.eater.com/maps/eat-out-to-help-out-restaurants-london-best
1,maps,01_maps,133,https://london.eater.com/maps/general-election-2019-kensington-best-london-restaurants-pubs
1,maps,01_maps,134,https://london.eater.com/maps/general-election-2019-where-to-eat-cities-of-london-westminster
1,maps,01_maps,135,https://london.eater.com/maps/general-election-where-to-eat-canvassing-hendon
1,maps,01_maps,136,https://london.eater.com/maps/iconic-dishes-london-best-restaurant-dishes
1,maps,01_maps,137,https://london.eater.com/maps/maida-vale-queens-park-best-london-restaurants-guide
1,maps,01_maps,138,https://london.eater.com/maps/new-years-eve-2022-best-london-restaurant-bar
1,maps,01_maps,139,https://london.eater.com/maps/oysters-best-bars-restaurants-london
1,maps,01_maps,140,https://london.eater.com/maps/super-bowl-lvi-2022-where-to-watch-london-restaurants-bars-pubs
1,maps,01_maps,141,https://london.eater.com/maps/takeaway-pints-london-best-craft-beer-pubs-bottleshops
1,maps,01_maps,142,https://london.eater.com/maps/10-best-places-restaurants-in-crystal-palace
1,maps,01_maps,143,https://london.eater.com/maps/2019-oscars-the-favourite-food-restaurant-locations-london
1,maps,01_maps,144,https://london.eater.com/maps/best-afro-vegan-restaurants-plant-based-london
1,maps,01_maps,145,https://london.eater.com/maps/best-bakeries-london-sourdough-croissants-pastries
1,maps,01_maps,146,https://london.eater.com/maps/best-balkan-restaurants-london
1,maps,01_maps,147,https://london.eater.com/maps/best-beef-wellington-london-restaurants
1,maps,01_maps,148,https://london.eater.com/maps/best-brazilian-restaurants-london
1,maps,01_maps,149,https://london.eater.com/maps/best-british-restaurants-london
1,maps,01_maps,150,https://london.eater.com/maps/best-burmese-restaurants-london
1,maps,01_maps,151,https://london.eater.com/maps/best-cafes-south-london
1,maps,01_maps,152,https://london.eater.com/maps/best-cake-london-bakery-birthday-celebration-dessert
1,maps,01_maps,153,https://london.eater.com/maps/best-caribbean-bakeries-london
1,maps,01_maps,154,https://london.eater.com/maps/best-caribbean-restaurants-london-fish-friday
1,maps,01_maps,155,https://london.eater.com/maps/best-caribbean-street-food-london-food-markets
1,maps,01_maps,156,https://london.eater.com/maps/best-child-friendly-restaurants-london
1,maps,01_maps,157,https://london.eater.com/maps/best-chinese-restaurants-london
1,maps,01_maps,158,https://london.eater.com/maps/best-christmas-lunch-dinner-london-restaurants
1,maps,01_maps,159,https://london.eater.com/maps/best-cinema-food-london-cinemas-electric-cinema-portobello-olympic-studios-barnes-rio-cinema
1,maps,01_maps,160,https://london.eater.com/maps/best-cocktail-bars-london
1,maps,01_maps,161,https://london.eater.com/maps/best-craft-beer-london-pubs-taprooms
